Date,Discharge,BOD,TSS,OG,pH,Phenols,COD
4/1/2015,,,,8,7,0.3,111
4/2/2015,,,,6,7,0.4,107
4/3/2015,,,,4,7,0.4,93
4/4/2015,,,,6,7,0.4,97
4/5/2015,,,,,7,0.4,95
4/6/2015,,50,39,4,7,0.3,125
4/7/2015,,,,4,7,0.3,109
4/8/2015,,,,3,7,0.3,89
4/9/2015,,,,8,7,0.3,111
4/10/2015,,,,9,7,0.3,128
4/11/2015,,,,9,7,0.5,161
4/12/2015,,,,,7,0.5,169
4/13/2015,,54,48,7,7,0.5,160
4/14/2015,,,,8,7,0.3,120
4/15/2015,,,,4,7,0.3,112
4/16/2015,,,,5,7,0.4,160
4/17/2015,0,,,5,7,0.5,120
4/18/2015,,,,7,7,0.5,160
4/19/2015,,50,50,,7,0.5,112
4/20/2015,,,,7,7,0.3,80
4/21/2015,,,,6,7,0.4,56
4/22/2015,,,,3,7,0.4,55
4/23/2015,,,,3,7,0.3,60
4/24/2015,,,,3,7,0.3,58
4/25/2015,,,,3,7,0.3,60
4/26/2015,,,,,7,0.4,55
4/27/2015,,16,27,3,7,0.3,60
4/28/2015,,,,3,7,0.3,50
4/29/2015,,,,4,7,0.3,55
4/30/2015,,,,5,7,0.2,54
5/1/2015,,,,4,7,0.2,50
5/2/2015,,,,3,7,0.3,48
5/3/2015,,,,,7,0.3,51
5/4/2015,,13,23,3,7,0.3,58
5/5/2015,,,,3,7,0.3,50
5/6/2015,,,,,,,
5/7/2015,,,,,,,
5/8/2015,,,,5,7,0.2,55
5/9/2015,,,,3,7,0.3,56
5/10/2015,,,,,7,0.5,53
5/11/2015,,25,56,7,7,0.4,55
5/12/2015,,,,3,7,0.4,60
5/13/2015,,,,3,7,0.3,52
5/14/2015,,,,5,7,0.1,52
5/15/2015,,,,4,7,0.1,56
5/16/2015,,,,4,7,,52
5/17/2015,,,,,7,0.1,58
5/18/2015,,80,49,3,7,,60
5/19/2015,,,,3,7,0.1,56
5/20/2015,,,,2,7,,54
5/21/2015,,,,3,7,0.1,40
5/22/2015,,,,3,7,0.1,40
5/23/2015,,,,3,7,0.1,49
5/24/2015,,,,,7,0.1,54
5/25/2015,,36,25,3,8,0.1,45
5/26/2015,,,,4,7,0.1,48
5/27/2015,,,,1,7,<0.1,36
5/28/2015,,,,3,7,<0.1,42
5/29/2015,,,,4,7,<0.1,54
5/30/2015,,,,1,7,<0.1,49
5/31/2015,,,,4,7,<0.1,40
6/1/2015,,18,28,,,,
6/2/2015,,,,1,7,<0.1,58
6/3/2015,,,,1,7,<0.1,22
6/4/2015,,,,1,7,<0.1,45
6/5/2015,,,,1,7,<0.1,32
6/6/2015,,,,1,7,<0.1,45
6/7/2015,,,,6,7,<0.1,41
6/8/2015,,15,65,1,7,<0.1,51
6/9/2015,,,,3,7,<0.1,56
6/10/2015,,,,1,7,<0.1,35
6/11/2015,,,,1,7,<0.1,27
6/12/2015,,,,1,7,<0.1,25
6/13/2015,,,,1,7,<0.1,35
6/14/2015,,,,-,7,<0.1,24
6/15/2015,,10,25,4,7,<0.1,31
6/16/2015,,,,1,7,<0.1,37
6/17/2015,,,,3,7,<0.1,35
6/18/2015,,,,1,7,<0.1,52
6/19/2015,,,,nil,7,<0.1,45
6/20/2015,,,,1,7,<0.1,49
6/21/2015,,,,4,7,<0.1,40
6/22/2015,,10,125,1,7,<0.1,48
6/23/2015,,,,1,7,<0.1,56
6/24/2015,,,,nil,7,<0.1,31
6/25/2015,,,,3,7,<0.1,59
6/26/2015,,,,3,7,<0.1,53
6/27/2015,,,,1,6,<0.1,50
6/28/2015,,,,8,7,0.1,51
6/29/2015,,,,4,7,0.1,44
6/30/2015,,,,1,7,0.1,56
7/1/2015,,,,1,7,0.01,55
7/2/2015,,,,1.3,7,0.04,58
7/3/2015,,,,4,7,0.05,45
7/4/2015,,,,1.3,7,0.02,55
7/5/2015,,,,,7,0.03,60
7/6/2015,,12,28,2.7,7,0.03,58
7/7/2015,,,,1.3,7,0.04,54
7/8/2015,,,,2.7,7,0.01,45
7/9/2015,,,,1.3,7,0.05,60
7/10/2015,,,,4,6,0.05,53
7/11/2015,,,,4.3,6,0.03,57
7/12/2015,,,,4,7,0.02,60
7/13/2015,,26,47,5,6,0.05,55
7/14/2015,,,,1.8,6,0.01,59
7/15/2015,,,,2.6,7,0.02,52
7/16/2015,,,,2.6,7,0.04,45
7/17/2015,,,,3.3,7,0.04,58
7/18/2015,,,,3,7,0.04,57
7/19/2015,,,,2,7,0.02,51
7/20/2015,,16,36,1.3,7,0.02,52
7/21/2015,,,,2.7,7,0.04,53
7/22/2015,,,,2.7,7,0.05,37
7/23/2015,,,,5,7,0.01,46
7/24/2015,,,,5,7,0.01,44
7/25/2015,,,,5,7,0.03,60
7/26/2015,,,,4,7,0.05,58
7/27/2015,,12,50,1.3,7,0.04,53
7/28/2015,No discharge,,,3,7,0.02,43
7/29/2015,,,,2.7,8,0.01,45
7/30/2015,,,,3,7,0.05,37
7/31/2015,,,,2.7,7,0.04,44
8/1/2015,,,,2.7,7,0.01,45
8/2/2015,,,,-,7,0.04,52
8/3/2015,,10,21,1.3,7,0.03,36
8/4/2015,,,,1.3,7,0.02,20
8/5/2015,,,,1.3,7,0.02,30
8/6/2015,,,,1.3,7,0.03,31
8/7/2015,,,,1.3,7,0.01,43
8/8/2015,No discharge,,,1.3,7,0.03,32
8/9/2015,,,,3.8,7,0.05,58
8/10/2015,,10,40,1.3,6,0.04,49
8/11/2015,,,,2.7,6,0.04,20
8/12/2015,,,,1.3,7,0.05,24
8/13/2015,,,,1.3,6,0.05,60
8/14/2015,,,,1.3,6,0.01,56
8/15/2015,,,,1.3,7,0.03,60
8/16/2015,,,,1.3,7,0.04,54
8/17/2015,,19,15,-,7,0.02,49
8/18/2015,,,,2.7,7,0.03,44
8/19/2015,,,,-,7,0.04,54
8/20/2015,,,,1.3,7,0.02,59
8/21/2015,,,,1.3,7,0.05,51
8/22/2015,,,,-,7,0.05,12
8/23/2015,,,,1.3,7,0.01,29
8/24/2015,,5,49,2.7,7,0.03,46
8/25/2015,,,,-,7,0.02,44
8/26/2015,,,,1.3,7,0.02,40
8/27/2015,,,,-,7,0.02,59
8/28/2015,,,,1.3,7,0.02,53
8/29/2015,,,,-,8,0.01,33
8/30/2015,,,,-,7,0.05,38
8/31/2015,,,,-,7,0.02,19
9/1/2015,,,,-,7,0.05,40
9/2/2015,,,,1.3,7,0.04,48
9/3/2015,,,,1.3,7,0.05,31
9/4/2015,,,,2.7,7,0.03,52
9/5/2015,,,,-,7,0.03,48
9/6/2015,,,,,7,0.04,51
9/7/2015,,25,38,1.3,7,0.01,48
9/8/2015,,,,,7,0.01,58
9/9/2015,,,,-,7,0.03,60
9/10/2015,,,,-,6,0.04,57
9/11/2015,,,,1.3,6,0.04,42
9/12/2015,,,,4,7,0.04,54
9/13/2015,,,,,6,0.05,46
9/14/2015,,30,33,1.3,6,0.05,58
9/15/2015,,,,-,7,0.04,59
9/16/2015,,,,1.3,7,0.03,57
9/17/2015,,,,,7,0.02,56
9/18/2015,,,,1.3,7,0.05,46
9/19/2015,,,,1.3,7,0.05,44
9/20/2015,,,,-,7,0.03,49
9/21/2015,,17,11,-,7,0.05,38
9/22/2015,,,,-,7,0.05,40
9/23/2015,,,,-,7,0.02,46
9/24/2015,,,,-,7,0.02,16
9/25/2015,,,,1.3,7,0.02,31
9/26/2015,,,,-,7,0.04,44
9/27/2015,,,,,7,0.02,52
9/28/2015,,17,10,-,7,0.02,47
9/29/2015,,,,-,8,0.01,32
9/30/2015,,,,1.3,7,0.04,50
10/1/2015,,,,nil,8,0.01,55
10/2/2015,,,,nil,7,0.01,60
10/3/2015,,,,1.33,7,0.02,45
10/4/2015,,,,2,7,0.03,43
10/5/2015,,20,25,1.33,7,0.01,33
10/6/2015,,,,1.33,7,0.01,30
10/7/2015,,,,1.33,8,0.04,46
10/8/2015,,,,1.33,7,0.02,36
10/9/2015,,,,1.33,8,0.04,37
10/10/2015,,,,1.33,7,0.03,39
10/11/2015,,,,2,7,0.04,36
10/12/2015,,26,17,1.33,7,0.01,49
10/13/2015,,,,1.33,7,0.01,42
10/14/2015,,,,2.66,7,0.01,43
10/15/2015,,,,2.66,7,0.02,59
10/16/2015,,,,2.66,7,0.04,54
10/17/2015,,,,4,8,0.03,53
10/18/2015,,,,1.33,8,0.02,57
10/19/2015,,,,1.33,7,0.05,43
10/20/2015,,6,25,1.33,7,0.02,28
10/21/2015,,,,2.66,7,0.02,36
10/22/2015,,,,1.33,7,0.02,47
10/23/2015,,,,1.33,7,0.02,40
10/24/2015,,,,1.33,7,0.03,29
10/25/2015,,,,1.33,7,0.04,33
10/26/2015,,16,33,1.33,7,0.04,55
10/27/2015,,,,1.33,7,0.02,24
10/28/2015,,,,1.33,8,0.02,39
10/29/2015,,,,1.33,7,0.01,52
10/30/2015,,,,1.33,8,0.01,57
10/31/2015,,,,1.33,7,0.01,52
11/1/2015,,,,1.33,7,0.05,51
11/2/2015,,26,17,1.33,7,0.01,31
11/3/2015,,,,1.33,7,0.02,50
11/4/2015,,,,1.33,7,0.01,46
11/5/2015,,,,1.33,7,0.04,36
11/6/2015,,,,1.33,7,0.01,37
11/7/2015,,,,1.33,7,0.03,35
11/8/2015,,,,2.66,7,0.04,46
11/9/2015,,9,36,1.33,7,0.01,51
11/10/2015,,,,1.33,7,0.01,50
11/11/2015,,,,2.66,7,0.01,32
11/12/2015,,,,1.33,7,0.03,35
11/13/2015,,,,1.33,7,0.04,28
11/14/2015,,,,1.33,7,0.04,24
11/15/2015,,,,1.33,7,0.02,29
11/16/2015,,20,24,1.33,7,0.02,29
11/17/2015,,,,1.33,7,0.02,38
11/18/2015,,,,1.33,7,0.04,37
11/19/2015,,,,1.33,7,0.04,35
11/20/2015,,,,1.33,7,0.01,36
11/21/2015,,,,1.33,7,0.01,30
11/22/2015,,,,1.33,7,0.01,32
11/23/2015,,16,50,1.33,7,0.01,42
11/24/2015,,,,1.33,7,0.02,45
11/25/2015,,,,1.33,7,0.01,44
11/26/2015,,,,1.33,7,0.01,22
11/27/2015,,,,1.33,7,0.03,34
11/28/2015,,,,1.33,7,0.02,29
11/29/2015,,,,1.33,7,0.02,36
11/30/2015,,,,1.33,7,0.01,27
12/1/2015,,10,21,2,7,0.01,19
12/2/2015,,,,1.33,7,0.01,21
12/3/2015,,,,1.33,7,0.01,27
12/4/2015,,,,1.33,7,0.01,28
12/5/2015,,,,1.33,7,0.01,21
12/6/2015,,,,1.33,7,0.01,24
12/7/2015,,19,23,1.33,7,0.01,26
12/8/2015,,,,1.33,7,0.01,16
12/9/2015,,,,1.33,7,0.01,26
12/10/2015,,,,1.33,7,0.01,31
12/11/2015,,,,1.33,7,0.01,25
12/12/2015,,,,1.33,7,0.01,23
12/13/2015,,,,2,7,0.01,35
12/14/2015,,11,23,3,7,0.01,27
12/15/2015,,,,1.33,7,0.01,24
12/16/2015,,,,1.33,7,0.01,44
12/17/2015,,,,1.33,7,0.01,36
12/18/2015,,,,1.33,7,0.01,21
12/19/2015,,,,1.33,7,0.01,22
12/20/2015,,,,1.33,7,0.01,40
12/21/2015,,4,28,1.33,7,0.01,24
12/22/2015,,,,1.33,7,0.01,31
12/23/2015,,,,3,7,0.01,27
12/24/2015,,,,2,7,0.01,25
12/25/2015,,,,1.33,7,0.01,40
12/26/2015,,,,1.33,7,0.01,39
12/27/2015,,,,1.33,7,0.01,57
12/28/2015,,,,1.33,7,0.01,39
12/29/2015,,,,1.33,7,0.01,26
12/30/2015,,,,1.33,7,0.01,24
12/31/2015,,,,1.33,7,0.01,47
1/1/2016,,,,1.33,7,0.02,38
1/2/2016,,,,1.33,7,0.01,38
1/3/2016,,,,nil,7,0.03,27
1/4/2016,,5,17,1.33,7,0.03,49
1/5/2016,,,,1.33,7,0.01,54
1/6/2016,,,,1.33,7,0.04,58
1/7/2016,,,,1.33,7,0.05,42
1/8/2016,,,,1.33,7,0.02,39
1/9/2016,,,,1.33,7,0.04,21
1/10/2016,,,,nil,7,0.02,35
1/11/2016,,15,12,1.33,7,0.04,38
1/12/2016,,,,1.33,7,0.02,27
1/13/2016,,,,1.33,7,0.02,33
1/14/2016,,,,1.33,7,0.01,27
1/15/2016,,,,1.33,7,0.02,26
1/16/2016,,,,1.33,7,0.04,21
1/17/2016,,,,nil,7,0.03,26
1/18/2016,,9,37,1.33,7,0.02,28
1/19/2016,,,,1.33,7,0.05,45
1/20/2016,,,,1.33,7,0.02,19
1/21/2016,,,,1.33,7,0.01,18
1/22/2016,,,,1.33,7,0.02,18
1/23/2016,,,,1.33,7,0.02,48
1/24/2016,,,,nil,7,0.03,24
1/25/2016,,23,8,1.33,7,0.04,31
1/26/2016,,,,1.33,7,0.04,48
1/27/2016,,,,1.33,7,0.04,27
1/28/2016,,,,1.33,7,0.02,15
1/29/2016,,,,1.33,7,0.02,14
1/30/2016,,,,1.33,7,0.01,28
1/31/2016,,,,nil,8,0.05,53
2/1/2016,,23,24,1.33,7,0.05,34
2/2/2016,,,,1.33,7,0.03,28
2/3/2016,,,,1.33,7,0.01,26
2/4/2016,,,,1.33,7,0.01,19
2/5/2016,,,,1,7,0.01,47
2/6/2016,,,,1,7,0.01,48
2/7/2016,,,,1.33,7,0.04,38
2/8/2016,,,,2.66,7,0.01,58
2/9/2016,,22,30,1.33,7,0.03,53
2/10/2016,,,,1.33,7,0.02,53
2/11/2016,,,,1,7,0.01,56
2/12/2016,,,,nil,7,0.05,45
2/13/2016,,,,1.33,7,0.01,48
2/14/2016,,,,nil,7,0.03,42
2/15/2016,,22,25,nil,7,0.04,47
2/16/2016,,,,1.33,7,0.02,51
2/17/2016,,,,nil,7,0.02,45
2/18/2016,,,,1.33,7,0.02,50
2/19/2016,,,,1.33,7,0.02,54
2/20/2016,,,,nil,7,0.04,55
2/21/2016,,,,1.33,7,0.04,57
2/22/2016,,20,37,1.33,7,0.01,59
2/23/2016,,,,1.33,7,0.01,56
2/24/2016,,,,nil,7,0.01,58
2/25/2016,,,,nil,7,0.01,57
2/26/2016,,,,nil,7,0.02,40
2/27/2016,,,,nil,7,0.01,26
2/28/2016,,,,nil,7,0.01,32
2/29/2016,,,,nil,7,0.03,52
3/1/2016,,,,nil,7,0.01,23
3/2/2016,,,,nil,7,0.03,32
3/3/2016,,,,1.33,7,0.01,35
3/4/2016,,,,1.33,7,0.04,38
3/5/2016,,,,1.33,7,0.01,52
3/6/2016,,,,nil,7,0.02,56
3/7/2016,,25,28,1.33,7,0.01,60
3/8/2016,,,,nil,7,0.01,53
3/9/2016,,,,nil,7,0.01,41
3/10/2016,,,,nil,7,0.05,33
3/11/2016,,,,nil,7,0.01,10
3/12/2016,,,,nil,7,0.01,35
3/13/2016,,,,nil,7,0.02,41
3/14/2016,,28,11,1.33,7,0.02,59
3/15/2016,,,,nil,7,0.01,56
3/16/2016,,,,nil,7,0.01,58
3/17/2016,,,,1.33,7,0.03,49
3/18/2016,,,,nil,7,0.01,32
3/19/2016,,,,nil,7,0.01,30
3/20/2016,,,,nil,7,0.02,21
3/21/2016,,14,45,nil,7,0.01,17
3/22/2016,,,,nil,7,0.05,43
3/23/2016,,,,nil,7,0.01,38
3/24/2016,,,,nil,7,0.03,32
3/25/2016,,,,nil,7,0.01,27
3/26/2016,,,,1.33,7,0.02,41
3/27/2016,,,,1,7,0.05,45
3/28/2016,,9,12,nil,7,0.01,25
3/29/2016,,,,1.33,7,0.01,27
3/30/2016,,,,nil,7,0.02,30
3/31/2016,,,,nil,7,0.01,26
4/1/2016,,,,-,7,0.01,37
4/2/2016,,,,1.33,7,0.01,29
4/3/2016,,,,1.33,7,0.02,36
4/4/2016,,23,21,1.33,7,0.04,55
4/5/2016,,,,1.33,7,0.03,50
4/6/2016,,,,1.33,7,0.01,48
4/7/2016,,,,-,7,0.01,54
4/8/2016,,,,1.33,7,0.02,57
4/9/2016,,,,-,7,0.01,26
4/10/2016,,,,-,7,0.04,34
4/11/2016,,16,33,1.33,7,0.03,22
4/12/2016,,,,-,7,0.01,43
4/13/2016,,,,1.33,7,0.05,53
4/14/2016,,,,1.33,7,0.02,50
4/15/2016,,,,-,7,0.01,51
4/16/2016,,,,1,7,0.02,53
4/17/2016,,,,2.66,7,0.04,50
4/18/2016,,26,35,1.33,7,0.04,55
4/19/2016,,,,2.66,7,0.05,58
4/20/2016,,,,2.66,7,0.04,60
4/21/2016,,,,-,7,0.01,49
4/22/2016,,,,1.33,7,0.01,48
4/23/2016,,,,1.33,7,0.02,50
4/24/2016,,,,-,7,0.01,56
4/25/2016,,92,60,2.66,7,0.04,60
4/26/2016,,,,1.33,7,0.02,58
4/27/2016,,,,-,7,0.01,47
4/28/2016,,,,1.33,7,0.02,55
4/29/2016,,,,1.33,7,0.01,50
4/30/2016,,,,2.66,7,0.01,58
5/1/2016,,,,-,7,0.03,60
5/2/2016,,28,55,1.33,7,0.02,51
5/3/2016,,,,-,7,0.01,47
5/4/2016,,,,-,7,0.01,38
5/5/2016,,,,-,7,0.01,37
5/6/2016,,,,-,7,0.02,29
5/7/2016,,,,-,7,0.01,24
5/8/2016,,,,-,7,0.01,28
5/9/2016,,,,1.33,7,0.01,20
5/10/2016,,,,-,7,0.04,24
5/11/2016,,,,-,7,0.03,23
5/12/2016,,,,1.33,7,0.01,35
5/13/2016,,,,1.33,7,0.03,55
5/14/2016,,,,-,7,0.02,59
5/15/2016,,,,-,7,0.01,60
5/16/2016,,18,44,2.66,7,0.02,60
5/17/2016,,,,2.66,7,0.04,60
5/18/2016,,,,2.66,7,0.05,60
5/19/2016,,,,1.33,7,0.02,60
5/20/2016,,,,1.33,8,0.04,57
5/21/2016,,,,2.66,7,0.01,47
5/22/2016,,,,-,7,0.04,55
5/23/2016,,24,35,1.33,7,0.02,56
5/24/2016,,,,1.33,8,0.03,50
5/25/2016,,,,-,7,0.04,57
5/26/2016,,,,-,7,0.02,56
5/27/2016,,,,1.33,7,0.03,59
5/28/2016,,,,-,8,0.01,58
5/29/2016,,,,-,7,0.02,56
5/30/2016,,30,22,-,8,0.03,58
5/31/2016,,,,1.33,7,0.05,60
6/1/2016,,,,-,8,0.03,53
6/2/2016,,,,-,7,0.03,52
6/3/2016,,,,1.33,7,0.05,60
6/4/2016,,,,-,7,0.03,49
6/5/2016,,,,-,7,0.02,51
6/6/2016,,30,26,-,7,0.01,50
6/7/2016,,,,-,7,0.01,60
6/8/2016,,,,-,7,0.05,53
6/9/2016,,,,-,7,0.04,50
6/10/2016,,,,1.33,7,0.04,52
6/11/2016,,,,-,7,0.03,53
6/12/2016,,,,-,7,0.01,55
6/13/2016,,20,32,-,7,0.03,45
6/14/2016,,,,-,7,0.02,17
6/15/2016,,,,1,7,0.02,29
6/16/2016,,,,-,7,0.02,20
6/17/2016,,,,-,7,0.04,39
6/18/2016,,,,-,8,0.05,21
6/19/2016,,,,-,8,0.02,36
6/20/2016,,16,2,-,8,0.04,21
6/21/2016,,,,-,7,0.01,26
6/22/2016,,,,-,7,0.04,16
6/23/2016,,,,-,7,0.02,23
6/24/2016,,,,-,7,0.03,43
6/25/2016,,,,-,8,0.04,22
6/26/2016,,,,1,8,0.02,28
6/27/2016,,12,22,-,7,0.02,27
6/28/2016,,,,-,7,0.01,18
6/29/2016,,,,-,7,0.04,40
6/30/2016,,,,-,7,0.03,29
7/1/2016,,,,nil,7,0.04,22
7/2/2016,,,,nil,7,0.01,30
7/3/2016,,,,nil,7,0.03,35
7/4/2016,,13,38,nil,7,0.01,37
7/5/2016,,,,nil,7,0.01,37
7/6/2016,,,,nil,7,0.02,23
7/7/2016,,,,1.33,7,0.01,50
7/8/2016,,,,1.33,7,0.01,58
7/9/2016,,,,1.33,7,0.02,60
7/10/2016,,,,nil,7,0.01,60
7/11/2016,,11,34,2.66,7,0.02,51
7/12/2016,,,,2.66,7,0.01,44
7/13/2016,,,,1.33,7,0.01,39
7/14/2016,,,,1.33,7,0.01,33
7/15/2016,,,,nil,7,0.01,40
7/16/2016,,,,nil,7,0.01,32
7/17/2016,,,,nil,7,0.01,34
7/18/2016,,6,48,nil,7,0.01,22
7/19/2016,,,,nil,7,0.01,29
7/20/2016,,,,nil,7,0.02,22
7/21/2016,,,,nil,7,0.01,17
7/22/2016,,,,nil,7,0.03,26
7/23/2016,,,,1.33,7,0.01,32
7/24/2016,,,,nil,7,0.03,53
7/25/2016,,22,64,nil,7,0.01,58
7/26/2016,,,,nil,7,0.01,57
7/27/2016,,,,nil,7,0.05,60
7/28/2016,,,,nil,7,0.03,58
7/29/2016,,,,nil,7,0.01,52
7/30/2016,,,,1.33,7,0.04,55
7/31/2016,,,,nil,7,0.01,52
8/1/2016,,21,61,nil,7,0.01,21
8/2/2016,,,,nil,7,0.01,29
8/3/2016,,,,nil,7,0.01,25
8/4/2016,,,,nil,7,0.03,20
8/5/2016,,6,4,nil,9,0.01,54
8/6/2016,,,,1.33,9,0.01,33
8/7/2016,,,,2,7,0.01,28
8/8/2016,,,,nil,7,0.02,53
8/9/2016,,,,1.33,7,0.04,60
8/10/2016,,,,1.33,7,0.01,58
8/11/2016,,,,nil,7,0.02,32
8/12/2016,,,,2.66,8,0.01,47
8/13/2016,,,,nil,7,0.01,50
8/14/2016,,,,1.33,9,0.01,33
8/15/2016,,,,nil,7,0.01,23
8/16/2016,,,,nil,7,0.02,28
8/17/2016,,,,nil,7,0.01,30
8/18/2016,,,,nil,7,0.01,23
8/19/2016,,,,nil,7,0.01,35
8/20/2016,,,,nil,7,0.02,20
8/21/2016,,,,nil,7,0.01,22
8/22/2016,,12,9,nil,7,0.01,12
8/23/2016,,,,nil,7,0.01,21
8/24/2016,,,,nil,7,0.01,14
8/25/2016,,,,1.33,7,0.04,26
8/26/2016,,,,nil,8,0.01,26
8/27/2016,,,,nil,7,0.01,26
8/28/2016,,,,nil,7,0.01,30
8/29/2016,,,,nil,7,0.03,33
8/30/2016,,12,21,1.33,7,0.01,23
8/31/2016,,,,nil,6,0.02,14
9/1/2016,,,,nil,7,0.03,34
9/2/2016,,,,nil,8,0.01,36
9/3/2016,,,,nil,7,0.01,21
9/4/2016,,,,nil,7,0.02,33
9/5/2016,,10,24,nil,7,0.01,24
9/6/2016,,,,nil,7,0.05,60
9/7/2016,,,,nil,7,0.01,58
9/8/2016,,,,nil,7,0.01,20
9/9/2016,,,,nil,7,0.01,29
9/10/2016,,,,nil,7,0.02,14
9/11/2016,,,,nil,7,0.01,21
9/12/2016,,,,nil,7,0.01,17
9/13/2016,,13,34,nil,7,0.01,11
9/14/2016,,,,nil,7,0.02,11
9/15/2016,,,,nil,7,0.01,14
9/16/2016,,,,nil,7,0.01,39
9/17/2016,,,,1.33,7,0.03,31
9/18/2016,,,,nil,7,0.01,20
9/19/2016,,13,25,nil,7,0.01,12
9/20/2016,,,,nil,7,0.01,11
9/21/2016,,,,nil,8,0.01,27
9/22/2016,,,,nil,7,0.04,28
9/23/2016,,,,nil,7,0.01,16
9/24/2016,,,,nil,7,0.03,11
9/25/2016,,,,nil,6,0.01,57
9/26/2016,,32,58,nil,8,0.01,53
9/27/2016,,,,1.33,6,0.02,60
9/28/2016,,,,nil,7,0.01,12
9/29/2016,,,,1.33,7,0.01,14
9/30/2016,,,,nil,7,0.02,10
10/1/2016,,,,1.33,7,0.04,25
10/2/2016,,,,nil,7,0.01,33
10/3/2016,,23,36,nil,7,0.04,35
10/4/2016,,,,nil,7,0.01,37
10/5/2016,,,,nil,7,0.05,40
10/6/2016,,,,nil,7,0.02,23
10/7/2016,,,,1.33,7,0.01,50
10/8/2016,,,,1.33,7,0.01,58
10/9/2016,,,,nil,7,0.02,50
10/10/2016,,12,44,nil,7,nil,60
10/11/2016,,,,nil,7,0.02,51
10/12/2016,,,,nil,7,0.01,45
10/13/2016,,,,nil,6,0.01,37
10/14/2016,,,,nil,7,0.01,33
10/15/2016,,,,nil,7,0.01,40
10/16/2016,,,,nil,7,0.01,32
10/17/2016,,23,25,nil,7,0.01,34
10/18/2016,,,,nil,8,0.01,22
10/19/2016,,,,nil,7,0.03,29
10/20/2016,,,,nil,7,0.02,22
10/21/2016,,,,nil,7,0.01,18
10/22/2016,,,,nil,7,0.03,26
10/23/2016,,,,nil,7,0.01,34
10/24/2016,,10,23,nil,6,0.03,53
10/25/2016,,,,nil,7,0.01,58
10/26/2016,,,,nil,7,0.01,57
10/27/2016,,,,nil,7,0.05,60
10/28/2016,,,,nil,7,0.03,58
10/29/2016,,,,nil,6,0.01,51
10/30/2016,,,,nil,7,0.04,55
10/31/2016,,,,nil,7,0.01,54
11/1/2016,,,,2,6,0.01,29
11/2/2016,,,,2,7,0.01,22
11/3/2016,,,,1,7,0.01,27
11/4/2016,,,,2,6,0.03,20
11/5/2016,,,,1,7,0.01,54
11/6/2016,,,,2,7,0.01,33
11/7/2016,,10,11,2,7,0.01,28
11/8/2016,,,,1,7,0.02,53
11/9/2016,,,,1,7,0.04,50
11/10/2016,,,,1,7,0.01,58
11/11/2016,,,,1,7,0.02,32
11/12/2016,,,,1,7,0.01,47
11/13/2016,,,,1,7,0.01,30
11/14/2016,,11,38,1,8,nil,33
11/15/2016,,,,1,7,0.01,27
11/16/2016,,,,1,7,0.02,29
11/17/2016,,,,1,7,0.01,30
11/18/2016,,,,1,7,0.01,26
11/19/2016,,,,1,7,0.01,35
11/20/2016,,,,1,7,0.02,20
11/21/2016,,8,28,1,7,0.04,22
11/22/2016,,,,1,7,0.01,17
11/23/2016,,,,1,7,0.01,21
11/24/2016,,,,1,7,0.05,14
11/25/2016,,,,1,7,0.04,20
11/26/2016,,,,1,7,0.05,26
11/27/2016,,,,1,7,0.03,26
11/28/2016,,16,5,1,7,0.01,30
11/29/2016,,,,1,7,0.03,35
11/30/2016,,,,1,7,0.03,26
12/1/2016,,,,1,7,0.03,39
12/2/2016,,,,1,8,0.01,36
12/3/2016,,,,1,7,0.01,23
12/4/2016,,,,1,7,0.02,33
12/5/2016,,15,21,1,7,0.01,24
12/6/2016,,,,1,7,0.05,45
12/7/2016,,,,1,7,0.01,58
12/8/2016,,,,1,7,0.01,26
